,id_of_student,address_of_student,alternativeAddress1_of_student,alternativeAddress2_of_student,hasCar,hasChildren,favoriteSpecialties_of_student,id_of_practice,address_of_practice,specialties_of_practice,Pair,timeDuration,matching,weights
11,S012,"Ulrichstraße 43, 60433 Frankfurt am Main","Märker Straße 42, 60437 Frankfurt am Main",No Address,0,0,"Strahlentherapie, Stimm- und Sprechstörungen",P012,"Kantstraße 13, 60316 Frankfurt am Main",Stimm- und Sprechstörungen,S012 - P012,19,2,181
0,S001,"Am Waldacker 21c, 60388 Frankfurt am Main","Pforzheimer Straße 15, 60329 Frankfurt am Main","Im Wörth 8, 60433 Frankfurt am Main",0,0,"Notfallmedizin, Kinder-Endokrinologie und -Diabetologie",P001,"Rhaban-Fröhlich-Straße 11, 60433 Frankfurt am Main","Sportmedizin, Notfallmedizin",S001 - P001,2,1,98
4,S005,"Hamburger Allee 56, 60486 Frankfurt am Main","Raimundstraße 6, 60431 Frankfurt am Main","Adolf-Miersch-Straße 33, 60528 Frankfurt am Main",0,0,"Notfallmedizin, Andrologie",P005,"Kurhessenstraße 6, 60431 Frankfurt am Main","Notfallmedizin, Phlebologie",S005 - P005,6,1,94
37,S038,"Melibocusstraße 23, 60528 Frankfurt am Main",No Address,No Address,1,1,Schlafmedizin,P038,"Sonnenweg 63, 60529 Frankfurt am Main",0,S038 - P038,6,0,94
35,S036,"Weberstraße 62, 60318 Frankfurt am Main",No Address,No Address,1,1,Palliativmedizin,P036,"Sonnemannstraße 75, 60314 Frankfurt am Main",0,S036 - P036,9,0,91
34,S035,"Überlinger Weg 17, 60386 Frankfurt am Main",No Address,No Address,1,1,Palliativmedizin,P035,"Sandweg 37, 60316 Frankfurt am Main",0,S035 - P035,15,0,85
2,S003,"Niedenau 51, 60325 Frankfurt am Main","An der Lühe 4, 60488 Frankfurt am Main","Turiner Straße 4a, 60598 Frankfurt am Main",0,0,"Notfallmedizin, Ärztliches Qualitätsmanagement ",P003,"Blauenstraße 22, 60528 Frankfurt am Main","Arbeitsmedizin, Notfallmedizin",S003 - P003,17,1,83
38,S039,"Annabergstraße 54, 65931 Frankfurt am Main",No Address,No Address,1,1,"Schlafmedizin, Kinder-Orthopädie",P039,"Friedberger Landstraße 198, 60389 Frankfurt am Main",0,S039 - P039,20,0,80
36,S037,"Melibocusstraße 21, 60528 Frankfurt am Main",No Address,No Address,1,1,"Palliativmedizin, Kinder-Nephrologie",P037,"Alkmenestraße 42, 60435 Frankfurt am Main",0,S037 - P037,23,0,77
33,S034,"Am Klingelborn 43, 60437 Frankfurt am Main",No Address,No Address,0,1,Palliativmedizin,P034,"Alt-Eschersheim 78, 60433 Frankfurt am Main",0,S034 - P034,31,0,69
32,S033,"Autogenstraße 11, 65933 Frankfurt am Main",No Address,No Address,0,1,Sexualmedizin,P033,"Emsdorfer Straße 8, 60433 Frankfurt am Main",0,S033 - P033,35,0,65
16,S017,"Breubergstraße 20, 60528 Frankfurt am Main","Görresstraße 6, 60386 Frankfurt am Main",No Address,0,0,"Strahlentherapie, Palliativmedizin",P017,"Breubergstraße 5, 60528 Frankfurt am Main",Röntgendiagnostik,S017 - P017,1,0,-1
7,S008,"Märker Straße 24, 60437 Frankfurt am Main","Frankenthaler Weg 2, 65931 Frankfurt am Main","Buchrainstraße 43, 60599 Frankfurt am Main",0,0,"Notfallmedizin, Röntgendiagnostik",P008,"Margeritenweg 17, 60433 Frankfurt am Main","Infektiologie, Chirotherapie",S008 - P008,1,0,-1
1,S002,"Storchgasse 2, 65929 Frankfurt am Main","Triebstraße 45, 60388 Frankfurt am Main","Eifelstraße 51, 60529 Frankfurt am Main",0,0,"Notfallmedizin, Hämostaseologie",P002,"Kurmainzer Straße 160, 65936 Frankfurt am Main","Tropenmedizin, Ernährungsmedizin",S002 - P002,1,0,-1
14,S015,"Karlsbader Straße 1, 60598 Frankfurt am Main","Haingasse 25, 60388 Frankfurt am Main",No Address,0,0,"Strahlentherapie, Röntgendiagnostik",P015,"Sachsenhäuser Landwehrweg 224, 60598 Frankfurt am Main",Dermahistologie,S015 - P015,3,0,-3
29,S030,"Musikantenweg 36, 60316 Frankfurt am Main",No Address,No Address,0,0,"Sexualmedizin, Kinder-Rheumatologie",P030,"Heidestraße 122, 60385 Frankfurt am Main",0,S030 - P030,3,0,-3
42,S043,"Toni-Sender-Straße 15, 65936 Frankfurt am Main",No Address,No Address,1,0,"Tropenmedizin, Kinder-Nephrologie",P043,"Im Waldfeld 22, 60488 Frankfurt am Main",0,S043 - P043,11,0,-11
5,S006,"Bernburger Weg 2, 65931 Frankfurt am Main","An der Schwarzbachmühle 21, 60529 Frankfurt am Main","Niddastraße 98-102, 60329 Frankfurt am Main",0,0,Notfallmedizin,P006,"Bleichstraße 12, 60313 Frankfurt am Main","Strahlentherapie, Röntgendiagnostik",S006 - P006,12,0,-12
19,S020,"Am Dammgraben 62, 60486 Frankfurt am Main","Franz-Henle-Straße 4, 65929 Frankfurt am Main",No Address,0,0,"Homöopathie, Labordiagnostik",P020,"Cretzschmarstraße 18, 60487 Frankfurt am Main","Sexualmedizin, Infektiologie",S020 - P020,12,0,-12
39,S040,"Breitlacherstraße 65, 60489 Frankfurt am Main",No Address,No Address,1,0,Schlafmedizin,P040,"Feuerbachstraße 10, 60325 Frankfurt am Main",0,S040 - P040,14,0,-14
